model,params,stage,best_r,macro_f1,mcc,auc_roc,accuracy,note
Llama-3.2-3B,3B,S1,FS,0.3962,0.1568,0.6239,0.4369,prompting
Mistral-7B,7B,S1,FS,0.3789,0.1627,0.6256,0.4105,prompting
Gemma-2-9B,9B,S1,ZS,0.4220,0.1723,0.6389,0.4736,prompting
Qwen3-14B,14B,S1,ZS,0.5559,0.2076,0.6580,0.7080,prompting
Phi-4,15B,S1,FS,0.5170,0.2029,0.6641,0.6304,prompting
Gemma-3-27B,27B,S1,FS,0.4110,0.1969,0.6560,0.4518,prompting
Llama-3.2-3B,3B,S2,16,0.8885,0.7800,0.9650,0.9008,
Mistral-7B,7B,S2,16,0.8888,0.7806,0.9664,0.9011,
Gemma-2-9B,9B,S2,16,0.8885,0.7807,0.9654,0.9005,
Qwen3-14B,14B,S2,16,0.8773,0.7585,0.9581,0.8904,
Phi-4,15B,S2,16,0.8726,0.7483,0.9544,0.8865,
Gemma-3-27B,27B,S2,16,0.8837,0.7687,0.9615,0.8974,
Llama-3.2-3B,3B,S3,16,0.8916,0.7841,0.9643,0.9048,
Mistral-7B,7B,S3,16,0.8902,0.7824,0.9647,0.9028,
Gemma-2-9B,9B,S3,16,0.8948,0.7914,0.9686,0.9070,
Qwen3-14B,14B,S3,16,0.8865,0.7758,0.9631,0.8991,
Phi-4,15B,S3,16,0.8811,0.7650,0.9589,0.8942,
Gemma-3-27B,27B,S3,16,,,,,trained; evaluation exceeded Colab session limits
Llama-3.2-3B,3B,S4,16,0.8896,0.7823,0.9657,0.9017,
Mistral-7B,7B,S4,4,0.8890,0.7810,0.9657,0.9012,r=16 unstable
Gemma-2-9B,9B,S4,16,0.8959,0.7949,0.9695,0.9073,champion
Qwen3-14B,14B,S4,16,0.8885,0.7802,0.9656,0.9007,
Phi-4,15B,S4,16,0.8871,0.7781,0.9654,0.8991,
Gemma-3-27B,27B,S4,16,,,,,infrastructure limit
